"","x","y","lo","hi"
"10",7,4,26,36
"21",7,6,34,48
"23",13,6,42,60
"39",13,8,50,72
"42",19,8,58,84
"45",10,9,50,72
"49",16,9,58,84
"58",13,10,58,84
"60",19,10,66,96
"80",28,11,82,120
"87",19,12,74,108
"89",25,12,82,120
"91",31,12,90,132
"101",22,13,82,120
"106",28,13,90,132
"112",34,13,98,144
"119",19,14,82,120
"124",31,14,98,144
"126",37,14,106,156
"129",16,15,82,120
"146",19,16,90,132
"149",25,16,98,144
"152",31,16,106,156
"155",37,16,114,168
"165",22,17,98,144
"171",28,17,106,156
"182",40,17,122,180
"188",46,17,130,192
"193",19,18,98,144
"195",25,18,106,156
"197",31,18,114,168
"199",37,18,122,180
"201",43,18,130,192
"207",22,19,106,156
"219",34,19,122,180
"230",46,19,138,204
"236",52,19,146,216
"245",31,20,122,180
"247",37,20,130,192
"252",49,20,146,216
"264",34,21,130,192
"267",40,21,138,204
"271",46,21,146,216
"274",52,21,154,228
"277",58,21,162,240
"282",25,22,122,180
"285",31,22,130,192
"290",43,22,146,216
"293",49,22,154,228
"305",28,23,130,192
"317",40,23,146,216
"334",58,23,170,252
"340",64,23,178,264
"345",25,24,130,192
"349",37,24,146,216
"351",43,24,154,228
"353",49,24,162,240
"355",55,24,170,252
"357",61,24,178,264
"363",28,25,138,204
"368",34,25,146,216
"382",52,25,170,252
"387",58,25,178,264
"403",31,26,146,216
"406",37,26,154,228
"411",49,26,170,252
"414",55,26,178,264
"419",67,26,194,288
"422",73,26,202,300
"425",28,27,146,216
"429",34,27,154,228
"437",46,27,170,252
"445",58,27,186,276
"449",64,27,194,288
"453",70,27,202,300
"457",76,27,210,312
"462",31,28,154,228
"464",37,28,162,240
"467",43,28,170,252
"472",55,28,186,276
"475",61,28,194,288
"477",67,28,202,300
"480",73,28,210,312
"482",79,28,218,324
"501",46,29,178,264
"518",64,29,202,300
"524",70,29,210,312
"530",76,29,218,324
"536",37,30,170,252
"538",43,30,178,264
"540",49,30,186,276
"543",61,30,202,300
"544",67,30,210,312
"546",73,30,218,324
"553",34,31,170,252
"559",40,31,178,264
"571",52,31,194,288
"594",76,31,226,336
"600",82,31,234,348
"603",37,32,178,264
"606",43,32,186,276
"609",49,32,194,288
"612",55,32,202,300
"618",67,32,218,324
"621",73,32,226,336
"624",79,32,234,348
"627",85,32,242,360
"630",91,32,250,372
"633",34,33,178,264
"637",40,33,186,276
"640",46,33,194,288
"644",52,33,202,300
"647",58,33,210,312
"651",64,33,218,324
"662",82,33,242,360
"677",43,34,194,288
"680",49,34,202,300
"685",61,34,218,324
"688",67,34,226,336
"691",73,34,234,348
"699",91,34,258,384
"702",97,34,266,396
"720",58,35,218,324
"724",64,35,226,336
"733",76,35,242,360
"737",82,35,250,372
"745",94,35,266,396
"753",37,36,194,288
"755",43,36,202,300
"759",55,36,218,324
"761",61,36,226,336
"763",67,36,234,348
"765",73,36,242,360
"769",85,36,258,384
"771",91,36,266,396
"773",97,36,274,408
"775",103,36,282,420
"779",40,37,202,300
"785",46,37,210,312
"791",52,37,218,324
"797",58,37,226,336
"809",70,37,242,360
"814",76,37,250,372
"820",82,37,258,384
"829",43,38,210,312
"832",49,38,218,324
"835",55,38,226,336
"837",61,38,234,348
"840",67,38,242,360
"843",73,38,250,372
"849",85,38,266,396
"852",91,38,274,408
"857",103,38,290,432
"860",109,38,298,444
"867",46,39,218,324
"878",64,39,242,360
"881",70,39,250,372
"896",94,39,282,420
"903",106,39,298,444
"914",49,40,226,336
"919",61,40,242,360
"921",67,40,250,372
"924",73,40,258,384
"926",79,40,266,396
"931",91,40,282,420
"936",103,40,298,444
"947",46,41,226,336
"953",52,41,234,348
"965",64,41,250,372
"971",70,41,258,384
"977",76,41,266,396
"993",43,42,226,336
"996",55,42,242,360
"998",61,42,250,372
"1000",67,42,258,384
"1003",79,42,274,408
"1005",85,42,282,420
"1008",97,42,298,444
