"","x","y","lo","hi"
"2",3,1,6,6
"16",9,5,24,24
"26",9,7,30,30
"31",15,7,36,36
"68",15,11,48,48
"74",21,11,54,54
"79",27,11,60,60
"100",21,13,60,60
"105",27,13,66,66
"164",21,17,72,72
"170",27,17,78,78
"176",33,17,84,84
"181",39,17,90,90
"206",21,19,78,78
"212",27,19,84,84
"218",33,19,90,90
"223",39,19,96,96
"235",51,19,108,108
"304",27,23,96,96
"310",33,23,102,102
"322",45,23,114,114
"327",51,23,120,120
"339",63,23,132,132
"362",27,25,102,102
"367",33,25,108,108
"372",39,25,114,114
"381",51,25,126,126
"386",57,25,132,132
"391",63,25,138,138
"396",69,25,144,144
"488",33,29,120,120
"494",39,29,126,126
"500",45,29,132,132
"512",57,29,144,144
"517",63,29,150,150
"523",69,29,156,156
"529",75,29,162,162
"564",45,31,138,138
"576",57,31,150,150
"581",63,31,156,156
"587",69,31,162,162
"599",81,31,174,174
"708",39,35,144,144
"715",51,35,156,156
"719",57,35,162,162
"728",69,35,174,174
"740",87,35,192,192
"744",93,35,198,198
"778",39,37,150,150
"790",51,37,162,162
"796",57,37,168,168
"802",63,37,174,174
"808",69,37,180,180
"813",75,37,186,186
"825",87,37,198,198
"946",45,41,168,168
"964",63,41,186,186
"970",69,41,192,192
"982",81,41,204,204
"987",87,41,210,210
"1018",45,43,174,174
"1024",51,43,180,180
"1030",57,43,186,186
"1036",63,43,192,192
"1042",69,43,198,198
"1054",81,43,210,210
"1059",87,43,216,216
"1202",51,47,192,192
"1208",57,47,198,198
"1214",63,47,204,204
"1220",69,47,210,210
"1226",75,47,216,216
"1244",93,47,234,234
"1287",57,49,204,204
"1303",75,49,222,222
"1308",81,49,228,228
"1318",93,49,240,240
"1323",99,49,246,246
"1472",57,53,216,216
"1484",69,53,228,228
"1490",75,53,234,234
"1496",81,53,240,240
"1502",87,53,246,246
"1508",93,53,252,252
"1514",99,53,258,258
"1556",57,55,222,222
"1561",63,55,228,228
"1565",69,55,234,234
"1573",81,55,246,246
"1578",87,55,252,252
"1582",93,55,258,258
"1595",111,55,276,276
"1604",123,55,288,288
"1756",63,59,240,240
"1762",69,59,246,246
"1780",87,59,264,264
"1792",99,59,276,276
"1798",105,59,282,282
"1836",63,61,246,246
"1842",69,61,252,252
"1848",75,61,258,258
"1854",81,61,264,264
"1860",87,61,270,270
"1866",93,61,276,276
"1878",105,61,288,288
"2038",69,65,264,264
"2046",81,65,276,276
"2051",87,65,282,282
"2055",93,65,288,288
"2060",99,65,294,294
"2068",111,65,306,306
"2082",129,65,324,324
"2138",81,67,282,282
"2150",93,67,294,294
"2156",99,67,300,300
"2168",111,67,312,312
"2174",117,67,318,318
"2326",75,71,288,288
"2332",81,71,294,294
"2338",87,71,300,300
"2344",93,71,306,306
"2350",99,71,312,312
"2356",105,71,318,318
"2362",111,71,324,324
"2368",117,71,330,330
"2422",75,73,294,294
"2434",87,73,306,306
"2440",93,73,312,312
"2446",99,73,318,318
"2452",105,73,324,324
"2458",111,73,330,330
"2464",117,73,336,336
"2470",123,73,342,342
"2624",81,77,312,312
"2652",117,77,348,348
"2656",123,77,354,354
"2665",135,77,366,366
"2670",141,77,372,372
"2720",81,79,318,318
"2726",87,79,324,324
"2738",99,79,336,336
"2744",105,79,342,342
"2750",111,79,348,348
"2756",117,79,354,354
"2762",123,79,360,360
"2922",87,83,336,336
"2928",93,83,342,342
"2934",99,83,348,348
"2940",105,83,354,354
"2946",111,83,360,360
"2952",117,83,366,366
"2958",123,83,372,372
"2964",129,83,378,378
"3023",93,85,348,348
"3028",99,85,354,354
"3050",129,85,384,384
"3063",147,85,402,402
"3220",93,89,360,360
"3232",105,89,372,372
"3238",111,89,378,378
"3244",117,89,384,384
"3256",129,89,396,396
"3262",135,89,402,402
"3316",93,91,366,366
"3321",99,91,372,372
"3331",111,91,384,384
"3340",123,91,396,396
"3349",135,91,408,408
"3354",141,91,414,414
"3364",153,91,426,426
"3518",99,95,384,384
"3531",117,95,402,402
"3549",141,95,426,426
"3558",153,95,438,438
"3563",159,95,444,444
"3616",99,97,390,390
"3622",105,97,396,396
"3628",111,97,402,402
"3634",117,97,408,408
"3640",123,97,414,414
"3646",129,97,420,420
"3652",135,97,426,426
"3658",141,97,432,432
"3664",147,97,438,438
