"","x","y","lo","hi"
"1",2,1,4,6
"6",5,3,10,12
"12",11,4,16,30
"15",8,5,16,30
"17",11,5,18,24
"28",11,7,22,30
"33",17,7,26,36
"36",20,7,28,54
"46",11,9,26,36
"48",14,9,28,54
"50",17,9,30,42
"52",20,9,32,62
"54",23,9,34,48
"57",11,10,28,54
"64",29,10,40,78
"70",17,11,34,48
"75",23,11,38,54
"81",29,11,42,60
"96",17,13,38,54
"99",20,13,40,78
"107",29,13,46,66
"113",35,13,50,72
"116",38,13,52,102
"133",23,15,46,66
"134",26,15,48,94
"136",29,15,50,72
"142",41,15,58,84
"151",29,16,52,102
"160",47,16,64,126
"166",23,17,50,72
"169",26,17,52,102
"175",32,17,56,110
"177",35,17,58,84
"180",38,17,60,118
"189",47,17,66,96
"194",23,18,52,102
"205",20,19,52,102
"214",29,19,58,84
"220",35,19,62,90
"231",47,19,70,102
"237",53,19,74,108
"240",56,19,76,150
"251",47,20,72,142
"258",23,21,58,84
"261",29,21,62,90
"263",32,21,64,126
"268",41,21,70,102
"270",44,21,72,142
"272",47,21,74,108
"278",59,21,82,120
"292",47,22,76,150
"300",65,22,88,174
"306",29,23,66,96
"312",35,23,70,102
"318",41,23,74,108
"323",47,23,78,114
"326",50,23,80,158
"329",53,23,82,120
"332",56,23,84,166
"335",59,23,86,126
"341",65,23,90,132
"356",59,24,88,174
"364",29,25,70,102
"371",38,25,76,150
"378",47,25,82,120
"383",53,25,86,126
"385",56,25,88,174
"397",71,25,98,144
"400",74,25,100,198
"402",29,26,72,142
"421",71,26,100,198
"426",29,27,74,108
"434",41,27,82,120
"436",44,27,84,166
"442",53,27,90,132
"450",65,27,98,144
"452",68,27,100,198
"454",71,27,102,150
"458",77,27,106,156
"461",29,28,76,150
"469",47,28,88,174
"476",65,28,100,198
"484",83,28,112,222
"490",35,29,82,120
"493",38,29,84,166
"496",41,29,86,126
"499",44,29,88,174
"508",53,29,94,138
"511",56,29,96,190
"513",59,29,98,144
"519",65,29,102,150
"525",71,29,106,156
"537",41,30,88,174
"549",83,30,116,230
"554",35,31,86,126
"557",38,31,88,174
"560",41,31,90,132
"566",47,31,94,138
"572",53,31,98,144
"575",56,31,100,198
"583",65,31,106,156
"589",71,31,110,162
"602",35,32,88,174
"611",53,32,100,198
"638",41,33,94,138
"641",47,33,98,144
"643",50,33,100,198
"645",53,33,102,150
"648",59,33,106,156
"650",62,33,108,214
"652",65,33,110,162
"654",68,33,112,222
"656",71,33,114,168
"658",74,33,116,230
"663",83,33,122,180
"670",95,33,130,192
"687",65,34,112,222
"704",101,34,136,270
"709",41,35,98,144
"713",47,35,102,150
"717",53,35,106,156
"721",59,35,110,162
"729",71,35,118,174
"738",83,35,126,186
"742",89,35,130,192
"749",101,35,138,204
"754",41,36,100,198
"777",38,37,100,198
"786",47,37,106,156
"789",50,37,108,214
"792",53,37,110,162
"795",56,37,112,222
"798",59,37,114,168
"804",65,37,118,174
"810",71,37,122,180
"821",83,37,130,192
"831",47,38,108,214
"834",53,38,112,222
"856",101,38,144,286
"864",41,39,106,156
"868",47,39,110,162
"870",50,39,112,222
"875",59,39,118,174
"882",71,39,126,186
"884",74,39,128,254
"886",77,39,130,192
"890",83,39,134,198
"894",89,39,138,204
"897",95,39,142,210
"901",101,39,146,216
"904",107,39,150,222
"908",113,39,154,228
"913",47,40,112,222
"928",83,40,136,270
"942",119,40,160,318
"954",53,41,118,174
"960",59,41,122,180
"963",62,41,124,246
"972",71,41,130,192
"978",77,41,134,198
"981",80,41,136,270
"983",83,41,138,204
"986",86,41,140,278
"992",92,41,144,286
"997",59,42,124,246
"1013",113,42,160,318
"1020",47,43,118,174
"1026",53,43,122,180
"1029",56,43,124,246
"1032",59,43,126,186
"1038",65,43,130,192
"1041",68,43,132,262
"1044",71,43,134,198
"1056",83,43,142,210
"1061",89,43,146,216
"1064",92,43,148,294
"1079",71,44,136,270
"1092",101,44,156,310
"1108",47,45,122,180
"1111",53,45,126,186
"1114",59,45,130,192
"1119",68,45,136,270
"1124",77,45,142,210
"1130",89,45,150,222
"1132",92,45,152,302
"1136",101,45,158,234
"1140",107,45,162,240
"1143",113,45,166,246
"1144",116,45,168,334
"1146",119,45,170,252
"1148",122,45,172,342
"1152",131,45,178,264
"1155",47,46,124,246
"1172",83,46,148,294
"1181",101,46,160,318
"1189",119,46,172,342
"1198",137,46,184,366
"1204",53,47,130,192
"1207",56,47,132,262
"1222",71,47,142,210
"1228",77,47,146,216
"1231",80,47,148,294
"1234",83,47,150,222
"1245",95,47,158,234
"1248",98,47,160,318
"1262",89,48,156,310
"1270",113,48,172,342
"1276",131,48,184,366
"1284",53,49,134,198
"1294",65,49,142,210
"1299",71,49,146,216
"1302",74,49,148,294
"1310",83,49,154,228
"1315",89,49,158,234
"1317",92,49,160,318
"1325",101,49,166,246
"1330",107,49,170,252
"1339",71,50,148,294
"1346",89,50,160,318
"1358",119,50,180,358
"1363",131,50,188,374
"1376",59,51,142,210
"1380",65,51,146,216
"1387",77,51,154,228
"1394",89,51,162,240
"1398",95,51,166,246
"1402",101,51,170,252
"1406",107,51,174,258
"1415",122,51,184,366
"1443",101,52,172,342
"1460",137,52,196,390
"1468",155,52,208,414
"1471",56,53,144,286
"1477",62,53,148,294
"1480",65,53,150,222
"1486",71,53,154,228
"1492",77,53,158,234
"1495",80,53,160,318
"1504",89,53,166,246
"1510",95,53,170,252
"1516",101,53,174,258
"1520",59,54,148,294
"1540",119,54,188,374
"1544",131,54,196,390
"1555",56,55,148,294
"1566",71,55,158,234
"1575",83,55,166,246
"1577",86,55,168,334
"1579",89,55,170,252
"1581",92,55,172,342
"1587",101,55,178,264
"1592",107,55,182,270
"1602",119,55,190,282
"1619",89,56,172,342
"1642",143,56,208,414
"1647",155,56,216,430
"1654",59,57,154,228
"1658",65,57,158,234
"1660",68,57,160,318
"1665",77,57,166,246
"1669",83,57,170,252
"1671",86,57,172,342
"1680",101,57,182,270
"1684",107,57,186,276
"1686",110,57,188,374
"1688",113,57,190,282
"1690",116,57,192,382
"1696",125,57,198,294
"1698",128,57,200,398
"1700",131,57,202,300
"1732",119,58,196,390
"1741",137,58,208,414
"1749",155,58,220,438
"1755",62,59,160,318
"1758",65,59,162,240
"1764",71,59,166,246
"1767",74,59,168,334
"1773",80,59,172,342
"1782",89,59,178,264
"1788",95,59,182,270
"1791",98,59,184,366
"1797",104,59,188,374
"1800",107,59,190,282
"1807",77,60,172,342
"1815",107,60,192,382
"1838",65,61,166,246
"1844",71,61,170,252
"1847",74,61,172,342
"1850",77,61,174,258
"1853",80,61,176,350
"1856",83,61,178,264
"1862",89,61,182,270
"1865",92,61,184,366
"1868",95,61,186,276
"1871",98,61,188,374
"1874",101,61,190,282
"1880",107,61,194,288
"1883",110,61,196,390
"1889",71,62,172,342
"1898",89,62,184,366
"1906",107,62,196,390
"1918",131,62,212,422
"1936",65,63,170,252
"1938",68,63,172,342
"1946",83,63,182,270
"1948",86,63,184,366
"1953",95,63,190,282
"1956",101,63,194,288
"1963",113,63,202,300
"1965",116,63,204,406
"1968",122,63,208,414
"1970",125,63,210,312
"1974",131,63,214,318
"1977",137,63,218,324
"1980",143,63,222,330
"1985",65,64,172,342
"2012",119,64,208,414
"2021",137,64,220,438
"2039",71,65,178,264
"2044",77,65,182,270
"2048",83,65,186,276
"2050",86,65,188,374
"2053",89,65,190,282
"2059",98,65,196,390
"2061",101,65,198,294
"2065",107,65,202,300
"2070",113,65,206,306
"2076",122,65,212,422
"2081",128,65,216,430
"2083",131,65,218,324
"2111",155,66,236,470
"2115",167,66,244,486
"2117",173,66,248,494
"2121",185,66,256,510
"2128",71,67,182,270
"2131",74,67,184,366
"2140",83,67,190,282
"2146",89,67,194,288
"2152",95,67,198,294
"2158",101,67,202,300
"2164",107,67,206,306
"2167",110,67,208,414
"2173",116,67,212,422
"2182",83,68,192,382
"2193",107,68,208,414
"2201",125,68,220,438
"2215",155,68,240,478
"2230",77,69,190,282
"2234",83,69,194,288
"2236",86,69,196,390
"2241",95,69,202,300
"2245",101,69,206,306
"2247",104,69,208,414
"2251",110,69,212,422
"2253",113,69,214,318
"2260",125,69,222,330
"2268",137,69,230,342
"2270",140,69,232,462
"2272",143,69,234,348
"2279",83,70,196,390
"2285",101,70,208,414
"2297",137,70,232,462
"2316",191,70,268,534
"2322",209,70,280,558
"2328",77,71,194,288
"2340",89,71,202,300
"2346",95,71,206,306
"2349",98,71,208,414
"2358",107,71,214,318
"2361",110,71,216,430
"2364",113,71,218,324
"2380",95,72,208,414
"2386",113,72,220,438
"2390",125,72,228,454
"2400",155,72,248,494
"2404",167,72,256,510
"2412",191,72,272,542
"2414",197,72,276,550
"2418",209,72,284,566
"2421",74,73,196,390
"2430",83,73,202,300
"2436",89,73,206,306
"2445",98,73,212,422
"2448",101,73,214,318
"2451",104,73,216,430
"2454",107,73,218,324
"2457",110,73,220,438
"2466",119,73,226,336
"2487",107,74,220,438
"2519",173,74,264,526
"2522",77,75,202,300
"2525",83,75,206,306
"2528",89,75,210,312
"2530",92,75,212,422
"2534",101,75,218,324
"2538",107,75,222,330
"2541",113,75,226,336
"2544",119,75,230,342
"2550",131,75,238,354
"2554",137,75,242,360
"2557",143,75,246,366
"2560",149,75,250,372
"2566",161,75,258,384
"2568",164,75,260,518
"2574",83,76,208,414
"2599",137,76,244,486
"2608",155,76,256,510
"2626",83,77,210,312
"2630",89,77,214,318
"2639",101,77,222,330
"2642",104,77,224,446
"2644",107,77,226,336
"2648",113,77,230,342
"2651",116,77,232,462
"2658",125,77,238,354
"2663",131,77,242,360
"2687",131,78,244,486
"2699",173,78,272,542
"2713",215,78,300,598
"2722",83,79,214,318
"2728",89,79,218,324
"2731",92,79,220,438
"2740",101,79,226,336
"2752",113,79,234,348
"2758",119,79,238,354
"2770",83,80,216,430
"2794",143,80,256,510
"2813",191,80,288,574
"2820",83,81,218,324
"2822",86,81,220,438
"2824",89,81,222,330
"2828",95,81,226,336
"2832",101,81,230,342
"2834",104,81,232,462
"2840",113,81,238,354
"2842",116,81,240,478
"2844",119,81,242,360
"2846",122,81,244,486
"2852",131,81,250,372
"2856",137,81,254,378
"2860",143,81,258,384
"2864",149,81,262,390
"2866",152,81,264,526
"2868",155,81,266,396
"2869",83,82,220,438
"2884",113,82,240,478
"2887",119,82,244,486
"2895",137,82,256,510
"2904",155,82,268,534
"2913",173,82,280,558
"2924",89,83,226,336
"2930",95,83,230,342
"2936",101,83,234,348
"2942",107,83,238,354
"2948",113,83,242,360
"2951",116,83,244,486
"2960",125,83,250,372
"2963",128,83,252,502
"2966",131,83,254,378
"2971",95,84,232,462
"2977",113,84,244,486
"2982",131,84,256,510
"2987",149,84,268,534
"2999",191,84,296,590
"3013",239,84,328,654
"3020",89,85,230,342
"3029",101,85,238,354
"3033",107,85,242,360
"3038",113,85,246,366
"3049",128,85,256,510
"3055",137,85,262,390
"3060",143,85,266,396
"3062",146,85,268,534
"3068",89,86,232,462
"3094",143,86,268,534
"3115",185,86,296,590
"3122",95,87,238,354
"3126",101,87,242,360
"3130",107,87,246,366
"3134",113,87,250,372
"3137",119,87,254,378
"3139",122,87,256,510
"3141",125,87,258,384
"3145",131,87,262,390
"3149",137,87,266,396
"3156",149,87,274,408
"3158",152,87,276,550
"3164",161,87,282,420
"3166",164,87,284,566
"3172",101,88,244,486
"3197",155,88,280,558
"3205",173,88,292,582
"3222",95,89,242,360
"3228",101,89,246,366
"3234",107,89,250,372
"3237",110,89,252,502
"3240",113,89,254,378
"3246",119,89,258,384
"3252",125,89,262,390
"3258",131,89,266,396
"3261",134,89,268,534
"3264",137,89,270,402
"3282",149,90,280,558
"3285",161,90,288,574
"3289",173,90,296,590
"3293",191,90,308,614
"3298",209,90,320,638
"3301",221,90,328,654
"3315",92,91,244,486
"3323",101,91,250,372
"3327",107,91,254,378
"3330",110,91,256,510
"3332",113,91,258,384
"3351",137,91,274,408
"3372",107,92,256,510
"3377",119,92,264,526
"3416",95,93,250,372
"3420",101,93,254,378
"3422",104,93,256,510
"3432",119,93,266,396
"3434",122,93,268,534
"3439",131,93,274,408
"3443",137,93,278,414
"3445",140,93,280,558
"3447",143,93,282,420
"3451",149,93,286,426
"3456",158,93,292,582
"3458",161,93,294,438
"3460",164,93,296,590
"3462",167,93,298,444
"3468",101,94,256,510
"3483",131,94,276,550
"3486",137,94,280,558
"3512",191,94,316,630
"3524",107,95,262,390
"3533",119,95,270,402
"3542",131,95,278,414
"3551",143,95,286,426
"3556",149,95,290,432
"3564",161,95,298,444
"3576",131,96,280,558
"3582",149,96,292,582
"3586",161,96,300,598
"3592",179,96,312,622
"3602",209,96,332,662
"3606",221,96,340,678
"3608",227,96,344,686
"3612",239,96,352,702
"3618",101,97,262,390
"3624",107,97,266,396
"3636",119,97,274,408
"3642",125,97,278,414
"3648",131,97,282,420
"3654",137,97,286,426
"3660",143,97,290,432
"3663",146,97,292,582
"3668",107,98,268,534
