"","x","y","lo","hi"
"19",13,5,10,18
"66",13,11,16,30
"83",31,11,22,42
"109",31,13,24,46
"131",19,15,22,42
"140",37,15,28,54
"174",31,17,28,54
"191",49,17,34,66
"325",49,23,40,78
"343",67,23,46,90
"365",31,25,36,70
"375",43,25,40,78
"394",67,25,48,94
"431",37,27,40,78
"455",73,27,52,102
"486",31,29,40,78
"504",49,29,46,90
"521",67,29,52,102
"562",43,31,46,90
"597",79,31,58,114
"635",37,33,46,90
"649",61,33,54,106
"726",67,35,58,114
"751",103,35,70,138
"782",43,37,52,102
"800",61,37,58,114
"823",85,37,66,130
"872",55,39,58,114
"891",85,39,68,134
"902",103,39,74,146
"905",109,39,76,150
"950",49,41,58,114
"968",67,41,64,126
"985",85,41,70,138
"1034",61,43,64,126
"1052",79,43,70,138
"1063",91,43,74,146
"1125",79,45,72,142
"1141",109,45,82,162
"1200",49,47,64,126
"1236",85,47,76,150
"1306",79,49,76,150
"1373",55,51,70,138
"1414",121,51,92,182
"1418",127,51,94,186
"1488",73,53,78,154
"1518",103,53,88,174
"1563",67,55,78,154
"1572",79,55,82,162
"1663",73,57,82,162
"1693",121,57,98,194
"1778",85,59,88,174
"1796",103,59,94,186
"1870",97,61,94,186
"1940",73,63,88,174
"1967",121,63,104,206
"1978",139,63,110,218
"1981",145,63,112,222
"2036",67,65,88,174
"2075",121,65,106,210
"2154",97,67,100,198
"2172",115,67,106,210
"2227",73,69,94,186
"2239",91,69,100,198
"2250",109,69,106,210
"2336",85,71,100,198
"2354",103,71,106,210
"2462",115,73,112,222
"2548",127,75,118,234
"2627",85,77,106,210
"2637",97,77,110,218
"2646",109,77,114,226
"2669",139,77,124,246
"2724",85,79,108,214
"2742",103,79,114,226
"2825",91,81,112,222
"2837",109,81,118,234
"2849",127,81,124,246
"2865",151,81,132,262
"2920",85,83,112,222
"2956",121,83,124,246
"3026",97,85,118,234
"3053",133,85,130,258
"3066",151,85,136,270
"3119",91,87,118,234
"3131",109,87,124,246
"3142",127,87,130,258
"3157",151,87,138,274
"3230",103,89,124,246
"3320",97,91,124,246
"3362",151,91,142,282
"3436",127,93,136,270
"3448",145,93,142,282
"3452",151,93,144,286
"3463",169,93,150,298
"3534",121,95,136,270
"3548",139,95,142,282
"3561",157,95,148,294
"3638",121,97,138,274
"3731",127,99,142,282
"3742",145,99,148,294
"3753",163,99,154,306
"3764",181,99,160,318
