"","x","y","lo","hi"
"94",15,13,18,18
"111",33,13,24,24
"187",45,17,32,32
"229",45,19,34,34
"316",39,23,36,36
"333",57,23,42,42
"506",51,29,46,46
"552",33,31,42,42
"558",39,31,44,44
"570",51,31,48,48
"593",75,31,56,56
"736",81,35,62,62
"748",99,35,68,68
"784",45,37,52,52
"819",81,37,64,64
"952",51,41,58,58
"958",57,41,60,60
"976",75,41,66,66
"1048",75,43,68,68
"1065",93,43,74,74
"1232",81,47,74,74
"1238",87,47,76,76
"1282",51,49,66,66
"1298",69,49,72,72
"1313",87,49,78,78
"1478",63,53,74,74
"1600",117,55,94,94
"1768",75,59,84,84
"1774",81,59,86,86
"1786",93,59,90,90
"1872",99,61,94,94
"1884",111,61,98,98
"2077",123,65,106,106
"2126",69,67,90,90
"2132",75,67,92,92
"2144",87,67,96,96
"2162",105,67,102,102
"2428",81,73,100,100
"2629",87,77,106,106
"2633",93,77,108,108
"2647",111,77,114,114
"2661",129,77,120,120
"2732",93,79,110,110
"2768",129,79,122,122
"3018",87,85,114,114
"3036",111,85,122,122
"3041",117,85,124,124
"3045",123,85,126,126
"3058",141,85,132,132
"3226",99,89,122,122
"3250",123,89,130,130
"3345",129,91,134,134
"3527",111,95,132,132
"3536",123,95,136,136
"3541",129,95,138,138
"3554",147,95,144,144
