2,1,4,6
3,1,6,6
3,2,6,6
5,2,14,24
4,3,8,18
5,3,10,12
7,3,10,18
8,3,22,36
5,4,22,36
7,4,26,36
9,4,14,14
11,4,16,30
6,5,42,42
7,5,14,24
8,5,16,30
9,5,24,24
11,5,18,24
12,5,54,54
13,5,10,18
14,5,38,60
7,6,34,48
11,6,38,60
13,6,42,60
17,6,46,72
8,7,38,60
9,7,30,30
10,7,20,42
11,7,22,30
12,7,66,66
13,7,22,36
15,7,36,36
16,7,24,50
17,7,26,36
18,7,78,78
19,7,26,42
20,7,28,54
9,8,66,66
11,8,46,72
13,8,50,72
15,8,26,26
17,8,54,84
19,8,58,84
21,8,90,90
23,8,62,96
10,9,50,72
11,9,26,36
13,9,26,42
14,9,28,54
16,9,58,84
17,9,30,42
19,9,30,48
20,9,32,62
22,9,32,66
23,9,34,48
25,9,34,54
26,9,70,108
11,10,28,54
13,10,58,84
17,10,62,96
19,10,66,96
21,10,34,34
23,10,70,108
27,10,114,114
29,10,40,78
12,11,30,30
13,11,16,30
14,11,62,96
15,11,48,48
16,11,32,66
17,11,34,48
18,11,102,102
19,11,34,54
20,11,70,108
21,11,54,54
23,11,38,54
24,11,114,114
25,11,38,60
26,11,78,120
27,11,60,60
28,11,82,120
29,11,42,60
30,11,42,42
31,11,22,42
32,11,86,132
13,12,32,66
17,12,70,108
19,12,74,108
23,12,78,120
25,12,82,120
29,12,86,132
31,12,90,132
35,12,94,144
14,13,70,108
15,13,18,18
16,13,36,74
17,13,38,54
18,13,114,114
19,13,38,60
20,13,40,78
21,13,60,60
22,13,82,120
23,13,20,42
24,13,126,126
25,13,42,66
27,13,66,66
28,13,90,132
29,13,46,66
30,13,138,138
31,13,24,46
32,13,94,144
33,13,24,24
34,13,98,144
35,13,50,72
36,13,50,50
37,13,50,78
38,13,52,102
15,14,114,114
17,14,78,120
19,14,82,120
23,14,86,132
25,14,44,90
27,14,46,46
29,14,94,144
31,14,98,144
33,14,150,150
37,14,106,156
39,14,162,162
41,14,110,168
16,15,82,120
17,15,20,42
19,15,22,42
22,15,44,90
23,15,46,66
26,15,48,94
28,15,48,98
29,15,50,72
31,15,50,78
32,15,102,156
34,15,52,106
37,15,28,54
38,15,110,168
41,15,58,84
43,15,58,90
44,15,118,180
17,16,86,132
19,16,90,132
21,16,46,46
23,16,94,144
25,16,98,144
27,16,150,150
29,16,52,102
31,16,106,156
33,16,54,54
35,16,110,168
37,16,114,168
39,16,58,58
41,16,118,180
43,16,60,122
45,16,186,186
47,16,64,126
18,17,138,138
19,17,46,72
20,17,94,144
21,17,72,72
22,17,98,144
23,17,50,72
24,17,150,150
25,17,50,78
26,17,52,102
27,17,78,78
28,17,106,156
29,17,26,54
30,17,162,162
31,17,28,54
32,17,56,110
33,17,84,84
35,17,58,84
36,17,174,174
37,17,58,90
38,17,60,118
39,17,90,90
40,17,122,180
41,17,30,62
42,17,186,186
43,17,62,96
44,17,126,192
45,17,32,32
46,17,130,192
47,17,66,96
48,17,198,198
49,17,34,66
50,17,134,204
19,18,98,144
23,18,52,102
25,18,106,156
29,18,110,168
31,18,114,168
35,18,118,180
37,18,122,180
41,18,126,192
43,18,130,192
47,18,134,204
49,18,68,138
53,18,142,216
20,19,52,102
21,19,78,78
22,19,106,156
23,19,26,54
24,19,162,162
25,19,54,84
26,19,110,168
27,19,84,84
28,19,56,114
29,19,58,84
30,19,174,174
31,19,58,90
32,19,118,180
33,19,90,90
34,19,122,180
35,19,62,90
36,19,186,186
37,19,62,96
39,19,96,96
40,19,64,130
41,19,32,66
42,19,198,198
43,19,66,102
44,19,134,204
45,19,34,34
46,19,138,204
47,19,70,102
48,19,210,210
49,19,70,108
50,19,142,216
51,19,108,108
52,19,146,216
53,19,74,108
54,19,222,222
55,19,74,114
56,19,76,150
21,20,54,54
23,20,110,168
27,20,58,58
29,20,118,180
31,20,122,180
33,20,186,186
37,20,130,192
39,20,66,66
41,20,134,204
43,20,68,138
47,20,72,142
49,20,146,216
51,20,222,222
53,20,150,228
57,20,78,78
59,20,158,240
22,21,56,114
23,21,58,84
25,21,58,90
26,21,118,180
29,21,62,90
31,21,62,96
32,21,64,126
34,21,130,192
37,21,66,102
38,21,134,204
40,21,138,204
41,21,70,102
43,21,70,108
44,21,72,142
46,21,146,216
47,21,74,108
50,21,150,228
52,21,154,228
53,21,38,78
55,21,78,120
58,21,162,240
59,21,82,120
61,21,82,126
62,21,166,252
23,22,118,180
25,22,122,180
27,22,62,62
29,22,126,192
31,22,130,192
35,22,134,204
37,22,68,138
39,22,210,210
41,22,142,216
43,22,146,216
45,22,74,74
47,22,76,150
49,22,154,228
51,22,234,234
53,22,158,240
57,22,246,246
59,22,166,252
61,22,84,170
63,22,86,86
65,22,88,174
24,23,186,186
25,23,62,96
26,23,126,192
27,23,96,96
28,23,130,192
29,23,66,96
30,23,198,198
31,23,66,102
32,23,134,204
33,23,102,102
34,23,68,138
35,23,70,102
36,23,210,210
37,23,70,108
38,23,142,216
39,23,36,36
40,23,146,216
41,23,74,108
42,23,222,222
43,23,74,114
44,23,150,228
45,23,114,114
47,23,78,114
48,23,234,234
49,23,40,78
50,23,80,158
51,23,120,120
52,23,80,162
53,23,82,120
54,23,82,82
55,23,82,126
56,23,84,166
57,23,42,42
58,23,170,252
59,23,86,126
60,23,258,258
61,23,86,132
62,23,174,264
63,23,132,132
64,23,178,264
65,23,90,132
66,23,270,270
67,23,46,90
68,23,182,276
25,24,130,192
29,24,134,204
31,24,68,138
35,24,142,216
37,24,146,216
41,24,150,228
43,24,154,228
47,24,158,240
49,24,162,240
53,24,166,252
55,24,170,252
59,24,88,174
61,24,178,264
65,24,182,276
67,24,92,186
71,24,190,288
26,25,134,204
27,25,102,102
28,25,138,204
29,25,70,102
31,25,36,70
32,25,142,216
33,25,108,108
34,25,146,216
36,25,222,222
37,25,74,114
38,25,76,150
39,25,114,114
41,25,38,78
42,25,78,78
43,25,40,78
44,25,158,240
46,25,80,162
47,25,82,120
48,25,246,246
49,25,82,126
51,25,126,126
52,25,170,252
53,25,86,126
54,25,258,258
56,25,88,174
57,25,132,132
58,25,178,264
59,25,44,90
61,25,90,138
62,25,182,276
63,25,138,138
64,25,92,186
66,25,282,282
67,25,48,94
68,25,190,288
69,25,144,144
71,25,98,144
72,25,294,294
73,25,98,150
74,25,100,198
27,26,210,210
29,26,72,142
31,26,146,216
33,26,222,222
35,26,150,228
37,26,154,228
41,26,158,240
43,26,80,162
45,26,82,82
47,26,166,252
49,26,170,252
51,26,86,86
53,26,174,264
55,26,178,264
57,26,270,270
59,26,182,276
61,26,92,186
63,26,282,282
67,26,194,288
69,26,294,294
71,26,100,198
73,26,202,300
75,26,306,306
77,26,206,312
28,27,146,216
29,27,74,108
31,27,74,114
32,27,150,228
34,27,154,228
35,27,38,78
37,27,40,78
38,27,158,240
40,27,80,162
41,27,82,120
43,27,82,126
44,27,84,166
46,27,170,252
47,27,42,86
49,27,86,132
50,27,174,264
52,27,88,178
53,27,90,132
55,27,90,138
56,27,182,276
58,27,186,276
59,27,46,94
61,27,94,144
62,27,190,288
64,27,194,288
65,27,98,144
67,27,98,150
68,27,100,198
70,27,202,300
71,27,102,150
