"","x","y","lo","hi"
"3",3,2,6,6
"11",9,4,14,14
"40",15,8,26,26
"61",21,10,34,34
"65",12,11,30,30
"82",30,11,42,42
"114",36,13,50,50
"122",27,14,46,46
"147",21,16,46,46
"153",33,16,54,54
"156",39,16,58,58
"241",21,20,54,54
"243",27,20,58,58
"248",39,20,66,66
"255",57,20,78,78
"283",27,22,62,62
"291",45,22,74,74
"299",63,22,86,86
"330",54,23,82,82
"374",42,25,78,78
"409",45,26,82,82
"412",51,26,86,86
"468",45,28,86,86
"473",57,28,94,94
"485",30,29,78,78
"503",48,29,90,90
"532",78,29,110,110
"590",72,31,110,110
"610",51,32,98,98
"616",63,32,106,106
"678",45,34,98,98
"689",69,34,114,114
"697",87,34,126,126
"746",96,35,134,134
"805",66,37,118,118
"827",39,38,102,102
"833",51,38,110,110
"844",75,38,126,126
"850",87,38,134,134
"853",93,38,138,138
"861",111,38,150,150
"917",57,40,118,118
"927",81,40,134,134
"929",87,40,138,138
"941",117,40,158,158
"990",90,41,142,142
"1021",48,43,118,118
"1033",60,43,126,126
"1051",78,43,138,138
"1075",63,44,130,130
"1083",81,44,142,142
"1086",87,44,146,146
"1168",75,46,142,142
"1177",93,46,154,154
"1183",105,46,162,162
"1199",48,47,126,126
"1211",60,47,134,134
"1217",66,47,138,138
"1235",84,47,150,150
"1285",54,49,134,134
"1338",69,50,146,146
"1350",99,50,166,166
"1355",111,50,174,174
"1357",117,50,178,178
"1428",69,52,150,150
"1434",81,52,158,158
"1437",87,52,162,162
"1445",105,52,174,174
"1462",141,52,198,198
"1511",96,53,170,170
"1588",102,55,178,178
"1605",57,56,150,150
"1610",69,56,158,158
"1613",75,56,162,162
"1618",87,56,170,170
"1620",93,56,174,174
"1628",111,56,186,186
"1636",129,56,198,198
"1641",141,56,206,206
"1649",159,56,218,218
"1651",165,56,222,222
"1719",93,58,178,178
"1731",117,58,194,194
"1734",123,58,198,198
"1737",129,58,202,202
"1740",135,58,206,206
"1748",153,58,218,218
"1765",72,59,166,166
"1839",66,61,166,166
"1851",78,61,174,174
"1869",96,61,186,186
"1902",99,62,190,190
"1914",123,62,206,206
"1931",159,62,230,230
"1990",75,64,178,178
"1999",93,64,190,190
"2008",111,64,202,202
"2017",129,64,214,214
"2035",66,65,174,174
"2049",84,65,186,186
"2062",102,65,198,198
"2129",72,67,182,182
"2181",81,68,190,190
"2189",99,68,202,202
"2203",129,68,222,222
"2206",135,68,226,226
"2223",171,68,250,250
"2282",93,70,202,202
"2284",99,70,206,206
"2299",141,70,234,234
"2309",171,70,254,254
"2311",177,70,258,258
"2320",201,70,274,274
"2329",78,71,194,194
"2471",75,74,198,198
"2483",99,74,214,214
"2491",117,74,226,226
"2506",147,74,246,246
"2581",99,76,218,218
"2590",117,76,230,230
"2607",153,76,254,254
"2729",90,79,218,218
"2741",102,79,226,226
"2747",108,79,230,230
"2753",114,79,234,234
"2786",123,80,242,242
"2793",141,80,254,254
"2800",159,80,266,266
"2807",177,80,278,278
"2810",183,80,282,282
"2886",117,82,242,242
"2900",147,82,262,262
"2903",153,82,266,266
"2909",165,82,274,274
"2912",171,82,278,278
"2919",84,83,222,222
"2925",90,83,226,226
"2955",120,83,246,246
"3085",123,86,254,254
"3105",165,86,282,282
"3108",171,86,286,286
"3169",93,88,238,238
"3174",105,88,246,246
"3177",111,88,250,250
"3180",117,88,254,254
"3182",123,88,258,258
"3185",129,88,262,262
"3191",141,88,270,270
"3199",159,88,282,282
"3207",177,88,294,294
"3365",93,92,246,246
"3374",111,92,258,258
"3379",123,92,266,266
"3382",129,92,270,270
"3385",135,92,274,274
"3391",147,92,282,282
"3399",165,92,294,294
"3408",183,92,306,306
"3467",99,94,254,254
"3490",147,94,286,286
"3505",177,94,306,306
"3511",189,94,314,314
"3631",114,97,270,270
"3637",120,97,274,274
"3649",132,97,282,282
"3683",141,98,290,290
"3698",177,98,314,314
"3701",183,98,318,318
"3706",195,98,326,326
"3714",213,98,338,338
"3771",117,100,278,278
"3774",123,100,282,282
"3786",153,100,302,302
"3793",171,100,314,314
"3805",201,100,334,334
"3807",207,100,338,338
