"","x","y","lo","hi"
"4",5,2,14,24
"8",8,3,22,36
"9",5,4,22,36
"20",14,5,38,60
"22",11,6,38,60
"24",17,6,46,72
"25",8,7,38,60
"38",11,8,46,72
"41",17,8,54,84
"44",23,8,62,96
"56",26,9,70,108
"59",17,10,62,96
"62",23,10,70,108
"67",14,11,62,96
"73",20,11,70,108
"78",26,11,78,120
"84",32,11,86,132
"86",17,12,70,108
"88",23,12,78,120
"90",29,12,86,132
"92",35,12,94,144
"93",14,13,70,108
"110",32,13,94,144
"118",17,14,78,120
"120",23,14,86,132
"123",29,14,94,144
"128",41,14,110,168
"138",32,15,102,156
"141",38,15,110,168
"144",44,15,118,180
"145",17,16,86,132
"148",23,16,94,144
"154",35,16,110,168
"157",41,16,118,180
"163",20,17,94,144
"186",44,17,126,192
"192",50,17,134,204
"196",29,18,110,168
"198",35,18,118,180
"200",41,18,126,192
"202",47,18,134,204
"204",53,18,142,216
"211",26,19,110,168
"217",32,19,118,180
"228",44,19,134,204
"234",50,19,142,216
"242",23,20,110,168
"244",29,20,118,180
"249",41,20,134,204
"254",53,20,150,228
"256",59,20,158,240
"260",26,21,118,180
"266",38,21,134,204
"273",50,21,150,228
"280",62,21,166,252
"281",23,22,118,180
"284",29,22,126,192
"286",35,22,134,204
"289",41,22,142,216
"295",53,22,158,240
"297",59,22,166,252
"303",26,23,126,192
"309",32,23,134,204
"315",38,23,142,216
"321",44,23,150,228
"338",62,23,174,264
"344",68,23,182,276
"346",29,24,134,204
"348",35,24,142,216
"350",41,24,150,228
"352",47,24,158,240
"354",53,24,166,252
"358",65,24,182,276
"360",71,24,190,288
"361",26,25,134,204
"366",32,25,142,216
"376",44,25,158,240
"390",62,25,182,276
"395",68,25,190,288
"405",35,26,150,228
"407",41,26,158,240
"410",47,26,166,252
"413",53,26,174,264
"416",59,26,182,276
"424",77,26,206,312
"428",32,27,150,228
"432",38,27,158,240
"440",50,27,174,264
"444",56,27,182,276
"448",62,27,190,288
"456",74,27,206,312
"460",80,27,214,324
"466",41,28,166,252
"471",53,28,182,276
"474",59,28,190,288
"479",71,28,206,312
"487",32,29,158,240
"505",50,29,182,276
