"","x","y","lo","hi"
"5",4,3,8,18
"7",7,3,10,18
"14",7,5,14,24
"27",10,7,20,42
"30",13,7,22,36
"32",16,7,24,50
"35",19,7,26,42
"47",13,9,26,42
"51",19,9,30,48
"53",22,9,32,66
"55",25,9,34,54
"69",16,11,32,66
"72",19,11,34,54
"77",25,11,38,60
"85",13,12,32,66
"95",16,13,36,74
"98",19,13,38,60
"104",25,13,42,66
"115",37,13,50,78
"121",25,14,44,90
"132",22,15,44,90
"135",28,15,48,98
"137",31,15,50,78
"139",34,15,52,106
"143",43,15,58,90
"158",43,16,60,122
"162",19,17,46,72
"168",25,17,50,78
"179",37,17,58,90
"185",43,17,62,96
"203",49,18,68,138
"210",25,19,54,84
"213",28,19,56,114
"216",31,19,58,90
"222",37,19,62,96
"224",40,19,64,130
"227",43,19,66,102
"233",49,19,70,108
"239",55,19,74,114
"250",43,20,68,138
"257",22,21,56,114
"259",25,21,58,90
"262",31,21,62,96
"265",37,21,66,102
"269",43,21,70,108
"276",55,21,78,120
"279",61,21,82,126
"287",37,22,68,138
"298",61,22,84,170
"302",25,23,62,96
"308",31,23,66,102
"311",34,23,68,138
"314",37,23,70,108
"320",43,23,74,114
"328",52,23,80,162
"331",55,23,82,126
"337",61,23,86,132
"347",31,24,68,138
"359",67,24,92,186
"370",37,25,74,114
"377",46,25,80,162
"380",49,25,82,126
"389",61,25,90,138
"392",64,25,92,186
"399",73,25,98,150
"408",43,26,80,162
"417",61,26,92,186
"427",31,27,74,114
"433",40,27,80,162
"435",43,27,82,126
"439",49,27,86,132
"441",52,27,88,178
"443",55,27,90,138
"447",61,27,94,144
"451",67,27,98,150
"459",79,27,106,162
"489",34,29,80,162
"492",37,29,82,126
"495",40,29,84,170
"498",43,29,86,132
"507",52,29,92,186
"510",55,29,94,144
"515",61,29,98,150
"527",73,29,106,162
"533",79,29,110,168
"535",31,30,80,162
"548",79,30,112,226
"556",37,31,86,132
"565",46,31,92,186
"568",49,31,94,144
"574",55,31,98,150
"577",58,31,100,202
"580",61,31,102,156
"582",64,31,104,210
"585",67,31,106,162
"588",70,31,108,218
"591",73,31,110,168
"615",61,32,104,210
"639",43,33,94,144
"642",49,33,98,150
"653",67,33,110,168
"655",70,33,112,226
"657",73,33,114,174
"659",76,33,116,234
"660",79,33,118,180
"664",85,33,122,186
"667",91,33,126,192
"669",94,33,128,258
"671",97,33,130,198
"674",37,34,92,186
"682",55,34,104,210
"694",79,34,120,242
"706",37,35,94,144
"710",43,35,98,150
"712",46,35,100,202
"716",52,35,104,210
"722",61,35,110,168
"731",73,35,118,180
"735",79,35,122,186
"741",88,35,128,258
"747",97,35,134,204
"757",49,36,104,210
"767",79,36,124,250
"788",49,37,106,162
"794",55,37,110,168
"803",64,37,116,234
"806",67,37,118,180
"812",73,37,122,186
"817",79,37,126,192
"826",88,37,132,266
"846",79,38,128,258
"854",97,38,140,282
"863",40,39,104,210
"865",43,39,106,162
"869",49,39,110,168
"874",58,39,116,234
"876",61,39,118,180
"879",67,39,122,186
"883",73,39,126,192
"885",76,39,128,258
"887",79,39,130,198
"889",82,39,132,266
"893",88,39,136,274
"898",97,39,142,216
"900",100,39,144,290
"907",112,39,152,306
"909",115,39,154,234
"912",43,40,108,218
"933",97,40,144,290
"938",109,40,152,306
"944",43,41,110,168
"956",55,41,118,180
"959",58,41,120,242
"962",61,41,122,186
"974",73,41,130,198
"980",79,41,134,204
"988",88,41,140,282
"991",91,41,142,216
"1002",73,42,132,266
"1010",103,42,152,306
"1022",49,43,118,180
"1028",55,43,122,186
"1031",58,43,124,250
"1037",64,43,128,258
"1040",67,43,130,198
"1046",73,43,134,204
"1058",85,43,142,216
"1060",88,43,144,290
"1082",79,44,140,282
"1091",97,44,152,306
"1099",115,44,164,330
"1109",49,45,122,186
"1113",58,45,128,258
"1115",61,45,130,198
"1118",67,45,134,204
"1121",73,45,138,210
"1131",91,45,150,228
"1134",97,45,154,234
"1137",103,45,158,240
"1142",112,45,164,330
"1147",121,45,170,258
"1150",127,45,174,264
"1153",133,45,178,270
"1167",73,46,140,282
"1190",121,46,172,346
"1196",133,46,180,362
"1203",52,47,128,258
"1206",55,47,130,198
"1212",61,47,134,204
"1218",67,47,138,210
"1221",70,47,140,282
"1224",73,47,142,216
"1230",79,47,146,222
"1239",88,47,152,306
"1242",91,47,154,234
"1247",97,47,158,240
"1249",49,48,128,258
"1255",67,48,140,282
"1273",121,48,176,354
"1277",133,48,184,370
"1279",139,48,188,378
"1286",55,49,134,204
"1291",61,49,138,210
"1296",67,49,142,216
"1301",73,49,146,222
"1309",82,49,152,306
"1311",85,49,154,234
"1319",94,49,160,322
"1322",97,49,162,246
"1327",103,49,166,252
"1335",61,50,140,282
"1349",97,50,164,330
"1364",133,50,188,378
"1375",58,51,140,282
"1377",61,51,142,216
"1381",67,51,146,222
"1384",73,51,150,228
"1386",76,51,152,306
"1388",79,51,154,234
"1390",82,51,156,314
"1395",91,51,162,246
"1399",97,51,166,252
"1401",100,51,168,338
"1403",103,51,170,258
"1407",109,51,174,264
"1411",115,51,178,270
"1430",73,52,152,306
"1466",151,52,204,410
"1470",55,53,142,216
"1476",61,53,146,222
"1482",67,53,150,228
"1494",79,53,158,240
"1500",85,53,162,246
"1503",88,53,164,330
"1506",91,53,166,252
"1512",97,53,170,258
"1529",85,54,164,330
"1531",91,54,168,338
"1553",157,54,212,426
"1559",61,55,150,228
"1562",64,55,152,306
"1568",73,55,158,240
"1574",82,55,164,330
"1580",91,55,170,258
"1585",97,55,174,264
"1589",103,55,178,270
"1591",106,55,180,362
"1594",109,55,182,276
"1596",112,55,184,370
"1607",61,56,152,306
"1630",115,56,188,378
"1653",58,57,152,306
"1655",61,57,154,234
"1659",67,57,158,240
"1661",70,57,160,322
"1666",79,57,166,252
"1668",82,57,168,338
"1670",85,57,170,258
"1674",91,57,174,264
"1677",97,57,178,270
"1679",100,57,180,362
"1681",103,57,182,276
"1685",109,57,186,282
"1689",115,57,190,288
"1691",118,57,192,386
"1695",124,57,196,394
"1697",127,57,198,300
"1718",91,58,176,354
"1739",133,58,204,410
"1754",61,59,158,240
"1760",67,59,162,246
"1763",70,59,164,330
"1766",73,59,166,252
"1772",79,59,170,258
"1781",88,59,176,354
"1784",91,59,178,270
"1787",94,59,180,362
"1790",97,59,182,276
"1799",106,59,188,378
"1802",109,59,190,288
"1804",67,60,164,330
"1816",109,60,192,386
"1822",133,60,208,418
"1837",64,61,164,330
"1840",67,61,166,252
"1846",73,61,170,258
"1852",79,61,174,264
"1858",85,61,178,270
"1864",91,61,182,276
"1876",103,61,190,288
"1882",109,61,194,294
"1893",79,62,176,354
"1910",115,62,200,402
"1919",133,62,212,426
"1937",67,63,170,258
"1942",76,63,176,354
"1943",79,63,178,270
"1947",85,63,182,276
"1952",94,63,188,378
"1954",97,63,190,288
"1957",103,63,194,294
"1961",109,63,198,300
"1964",115,63,202,306
"1966",118,63,204,410
"1969",124,63,208,418
"1971",127,63,210,318
"1973",130,63,212,426
"1979",142,63,220,442
"1989",73,64,176,354
"1992",79,64,180,362
"1998",91,64,188,378
"2007",109,64,200,402
"2013",121,64,208,418
"2022",139,64,220,442
"2034",163,64,236,474
"2041",73,65,178,270
"2045",79,65,182,276
"2047",82,65,184,370
"2058",97,65,194,294
"2063",103,65,198,300
"2064",106,65,200,402
"2067",109,65,202,306
"2078",124,65,212,426
"2080",127,65,214,324
"2085",67,66,176,354
"2090",85,66,188,378
"2096",103,66,200,402
"2098",109,66,204,410
"2120",181,66,252,506
"2127",70,67,180,362
"2130",73,67,182,276
"2136",79,67,186,282
"2142",85,67,190,288
"2145",88,67,192,386
"2148",91,67,194,294
"2157",100,67,200,402
"2160",103,67,202,306
"2166",109,67,206,312
"2197",115,68,212,426
"2205",133,68,224,450
"2222",169,68,248,498
"2231",79,69,190,288
"2235",85,69,194,294
"2240",94,69,200,402
"2242",97,69,202,306
"2244",100,69,204,410
"2246",103,69,206,312
"2255",118,69,216,434
"2257",121,69,218,330
"2261",127,69,222,336
"2265",133,69,226,342
"2269",139,69,230,348
"2273",145,69,234,354
"2277",79,70,192,386
"2294",127,70,224,450
"2308",169,70,252,506
"2315",187,70,264,530
"2317",193,70,268,538
"2324",73,71,190,288
"2330",79,71,194,294
"2342",91,71,202,306
"2345",94,71,204,410
"2348",97,71,206,312
"2357",106,71,212,426
"2360",109,71,214,324
"2366",115,71,218,330
"2372",121,71,222,336
"2389",121,72,224,450
"2405",169,72,256,514
"2407",175,72,260,522
"2426",79,73,198,300
"2432",85,73,202,306
"2435",88,73,204,410
"2438",91,73,206,312
"2444",97,73,210,318
"2450",103,73,214,324
"2456",109,73,218,330
"2465",118,73,224,450
"2468",121,73,226,342
"2473",79,74,200,402
"2499",133,74,236,474
"2508",151,74,248,498
"2521",76,75,200,402
"2523",79,75,202,306
"2529",91,75,210,318
"2531",94,75,212,426
"2532",97,75,214,324
"2535",103,75,218,330
