"","x","y","lo","hi"
"13",6,5,42,42
"18",12,5,54,54
"29",12,7,66,66
"34",18,7,78,78
"37",9,8,66,66
"43",21,8,90,90
"63",27,10,114,114
"71",18,11,102,102
"76",24,11,114,114
"97",18,13,114,114
"103",24,13,126,126
"108",30,13,138,138
"117",15,14,114,114
"125",33,14,150,150
"127",39,14,162,162
"150",27,16,150,150
"159",45,16,186,186
"161",18,17,138,138
"167",24,17,150,150
"173",30,17,162,162
"178",36,17,174,174
"184",42,17,186,186
"190",48,17,198,198
"209",24,19,162,162
"215",30,19,174,174
"221",36,19,186,186
"226",42,19,198,198
"232",48,19,210,210
"238",54,19,222,222
"246",33,20,186,186
"253",51,20,222,222
"288",39,22,210,210
"294",51,22,234,234
"296",57,22,246,246
"301",24,23,186,186
"307",30,23,198,198
"313",36,23,210,210
"319",42,23,222,222
"324",48,23,234,234
"336",60,23,258,258
"342",66,23,270,270
"369",36,25,222,222
"379",48,25,246,246
"384",54,25,258,258
"393",66,25,282,282
"398",72,25,294,294
"401",27,26,210,210
"404",33,26,222,222
"415",57,26,270,270
"418",63,26,282,282
"420",69,26,294,294
"423",75,26,306,306
"463",33,28,234,234
"465",39,28,246,246
"470",51,28,270,270
"478",69,28,306,306
"481",75,28,318,318
"483",81,28,330,330
"491",36,29,246,246
"497",42,29,258,258
"509",54,29,282,282
"514",60,29,294,294
"520",66,29,306,306
"526",72,29,318,318
"555",36,31,258,258
"561",42,31,270,270
"567",48,31,282,282
"573",54,31,294,294
"579",60,31,306,306
"584",66,31,318,318
"596",78,31,342,342
"601",33,32,258,258
"604",39,32,270,270
"607",45,32,282,282
"613",57,32,306,306
"619",69,32,330,330
"622",75,32,342,342
"625",81,32,354,354
"628",87,32,366,366
"631",93,32,378,378
"675",39,34,282,282
"683",57,34,318,318
"686",63,34,330,330
"692",75,34,354,354
"695",81,34,366,366
"700",93,34,390,390
"703",99,34,402,402
"705",36,35,282,282
"714",48,35,306,306
"718",54,35,318,318
"725",66,35,342,342
"730",72,35,354,354
"734",78,35,366,366
"750",102,35,414,414
"781",42,37,306,306
"787",48,37,318,318
"793",54,37,330,330
"799",60,37,342,342
"811",72,37,366,366
"816",78,37,378,378
"822",84,37,390,390
"830",45,38,318,318
"838",63,38,354,354
"841",69,38,366,366
"847",81,38,390,390
"855",99,38,426,426
"858",105,38,438,438
"915",51,40,342,342
"920",63,40,366,366
"922",69,40,378,378
"932",93,40,426,426
"934",99,40,438,438
"939",111,40,462,462
"943",42,41,330,330
"949",48,41,342,342
"955",54,41,354,354
"961",60,41,366,366
"967",66,41,378,378
"973",72,41,390,390
"979",78,41,402,402
"984",84,41,414,414
"1027",54,43,366,366
"1039",66,43,390,390
"1045",72,43,402,402
"1057",84,43,426,426
"1062",90,43,438,438
"1067",45,44,354,354
"1070",51,44,366,366
"1072",57,44,378,378
"1078",69,44,402,402
"1081",75,44,414,414
"1089",93,44,450,450
"1094",105,44,474,474
"1097",111,44,486,486
"1100",117,44,498,498
"1102",123,44,510,510
"1105",129,44,522,522
"1157",51,46,378,378
"1160",57,46,390,390
"1163",63,46,402,402
"1171",81,46,438,438
"1174",87,46,450,450
"1180",99,46,474,474
"1186",111,46,498,498
"1188",117,46,510,510
"1191",123,46,522,522
"1194",129,46,534,534
"1197",135,46,546,546
"1205",54,47,390,390
"1223",72,47,426,426
"1229",78,47,438,438
"1241",90,47,462,462
"1246",96,47,474,474
"1290",60,49,414,414
"1295",66,49,426,426
"1300",72,49,438,438
"1305",78,49,450,450
"1316",90,49,474,474
"1321",96,49,486,486
"1326",102,49,498,498
"1331",51,50,402,402
"1333",57,50,414,414
"1336",63,50,426,426
"1343",81,50,462,462
"1345",87,50,474,474
"1348",93,50,486,486
"1360",123,50,546,546
"1362",129,50,558,558
"1367",141,50,582,582
"1369",147,50,594,594
"1423",57,52,426,426
"1426",63,52,438,438
"1431",75,52,462,462
"1439",93,52,498,498
"1442",99,52,510,510
"1448",111,52,534,534
"1453",123,52,558,558
"1456",129,52,570,570
"1459",135,52,582,582
"1464",147,52,606,606
"1467",153,52,618,618
"1469",54,53,426,426
"1475",60,53,438,438
"1481",66,53,450,450
"1487",72,53,462,462
"1493",78,53,474,474
"1499",84,53,486,486
"1505",90,53,498,498
"1517",102,53,522,522
"1567",72,55,474,474
"1571",78,55,486,486
"1576",84,55,498,498
"1584",96,55,522,522
"1593",108,55,546,546
"1598",114,55,558,558
"1615",81,56,498,498
"1623",99,56,534,534
"1631",117,56,570,570
"1633",123,56,582,582
"1638",135,56,606,606
"1646",153,56,642,642
"1705",63,58,474,474
"1708",69,58,486,486
"1711",75,58,498,498
"1714",81,58,510,510
"1722",99,58,546,546
"1725",105,58,558,558
"1728",111,58,570,570
"1743",141,58,630,630
"1745",147,58,642,642
"1751",159,58,666,666
"1753",60,59,474,474
"1759",66,59,486,486
"1771",78,59,510,510
"1777",84,59,522,522
"1783",90,59,534,534
"1789",96,59,546,546
"1795",102,59,558,558
"1801",108,59,570,570
"1845",72,61,510,510
"1857",84,61,534,534
"1863",90,61,546,546
"1875",102,61,570,570
"1881",108,61,582,582
"1885",63,62,498,498
"1888",69,62,510,510
"1891",75,62,522,522
"1894",81,62,534,534
"1897",87,62,546,546
"1905",105,62,582,582
"1908",111,62,594,594
"1911",117,62,606,606
"1917",129,62,630,630
"1920",135,62,642,642
"1923",141,62,654,654
"1926",147,62,666,666
"1929",153,62,678,678
"1934",165,62,702,702
"1987",69,64,522,522
"1993",81,64,546,546
"1996",87,64,558,558
"2002",99,64,582,582
"2005",105,64,594,594
"2011",117,64,618,618
"2014",123,64,630,630
"2020",135,64,654,654
"2023",141,64,666,666
"2026",147,64,678,678
"2029",153,64,690,690
"2032",159,64,702,702
"2040",72,65,534,534
"2057",96,65,582,582
"2066",108,65,606,606
"2071",114,65,618,618
"2079",126,65,642,642
"2084",132,65,654,654
"2135",78,67,558,558
"2141",84,67,570,570
"2147",90,67,582,582
"2153",96,67,594,594
"2159",102,67,606,606
"2165",108,67,618,618
"2171",114,67,630,630
"2175",69,68,546,546
"2178",75,68,558,558
"2183",87,68,582,582
"2186",93,68,594,594
"2192",105,68,618,618
"2195",111,68,630,630
"2198",117,68,642,642
"2200",123,68,654,654
"2209",141,68,690,690
"2212",147,68,702,702
"2217",159,68,726,726
"2220",165,68,738,738
"2278",81,70,582,582
"2280",87,70,594,594
"2289",111,70,642,642
"2291",117,70,654,654
"2293",123,70,666,666
"2295",129,70,678,678
"2303",153,70,726,726
"2305",159,70,738,738
"2314",183,70,786,786
"2321",207,70,834,834
"2323",72,71,570,570
"2335",84,71,594,594
"2341",90,71,606,606
"2347",96,71,618,618
"2353",102,71,630,630
"2359",108,71,642,642
"2365",114,71,654,654
"2371",120,71,666,666
"2425",78,73,594,594
"2431",84,73,606,606
"2437",90,73,618,618
"2443",96,73,630,630
"2449",102,73,642,642
"2455",108,73,654,654
"2461",114,73,666,666
"2467",120,73,678,678
"2474",81,74,606,606
"2477",87,74,618,618
"2480",93,74,630,630
"2486",105,74,654,654
"2494",123,74,690,690
"2497",129,74,702,702
"2500",135,74,714,714
"2503",141,74,726,726
"2509",153,74,750,750
"2512",159,74,762,762
"2515",165,74,774,774
"2518",171,74,786,786
"2573",81,76,618,618
"2576",87,76,630,630
"2579",93,76,642,642
"2584",105,76,666,666
"2587",111,76,678,678
"2593",123,76,702,702
"2596",129,76,714,714
"2598",135,76,726,726
"2601",141,76,738,738
"2604",147,76,750,750
"2610",159,76,774,774
"2613",165,76,786,786
"2618",177,76,810,810
"2621",78,77,618,618
"2631",90,77,642,642
"2636",96,77,654,654
"2640",102,77,666,666
"2645",108,77,678,678
"2649",114,77,690,690
"2654",120,77,702,702
"2668",138,77,738,738
"2723",84,79,642,642
"2735",96,79,666,666
"2759",120,79,714,714
"2765",126,79,726,726
"2769",81,80,642,642
"2771",87,80,654,654
"2774",93,80,666,666
"2776",99,80,678,678
"2781",111,80,702,702
"2783",117,80,714,714
"2788",129,80,738,738
"2795",147,80,774,774
"2798",153,80,786,786
"2805",171,80,822,822
"2812",189,80,858,858
"2817",201,80,882,882
"2871",87,82,666,666
"2874",93,82,678,678
"2877",99,82,690,690
"2880",105,82,702,702
"2883",111,82,714,714
"2891",129,82,750,750
"2894",135,82,762,762
"2897",141,82,774,774
"2906",159,82,810,810
"2915",177,82,846,846
"2918",183,82,858,858
"2931",96,83,690,690
"2937",102,83,702,702
"2943",108,83,714,714
"2949",114,83,726,726
"2961",126,83,750,750
"2967",132,83,762,762
"3025",96,85,702,702
"3034",108,85,726,726
"3039",114,85,738,738
"3047",126,85,762,762
"3052",132,85,774,774
"3056",138,85,786,786
"3061",144,85,798,798
"3067",87,86,690,690
"3070",93,86,702,702
"3073",99,86,714,714
"3076",105,86,726,726
"3079",111,86,738,738
"3082",117,86,750,750
"3090",135,86,786,786
"3093",141,86,798,798
"3096",147,86,810,810
"3099",153,86,822,822
"3102",159,86,834,834
"3111",177,86,870,870
"3114",183,86,882,882
"3188",135,88,798,798
"3193",147,88,822,822
"3196",153,88,834,834
"3204",171,88,870,870
