"","x","y","lo","hi"
"3210",183,88,894,894
"3212",189,88,906,906
"3215",195,88,918,918
"3217",90,89,714,714
"3223",96,89,726,726
"3229",102,89,738,738
"3235",108,89,750,750
"3241",114,89,762,762
"3247",120,89,774,774
"3253",126,89,786,786
"3259",132,89,798,798
"3265",138,89,810,810
"3319",96,91,738,738
"3324",102,91,750,750
"3328",108,91,762,762
"3333",114,91,774,774
"3337",120,91,786,786
"3347",132,91,810,810
"3352",138,91,822,822
"3356",144,91,834,834
"3361",150,91,846,846
"3368",99,92,750,750
"3371",105,92,762,762
"3376",117,92,786,786
"3388",141,92,834,834
"3394",153,92,858,858
"3397",159,92,870,870
"3402",171,92,894,894
"3405",177,92,906,906
"3411",189,92,930,930
"3414",195,92,942,942
"3470",105,94,774,774
"3473",111,94,786,786
"3476",117,94,798,798
"3479",123,94,810,810
"3482",129,94,822,822
"3485",135,94,834,834
"3493",153,94,870,870
"3496",159,94,882,882
"3499",165,94,894,894
"3502",171,94,906,906
"3508",183,94,930,930
"3514",195,94,954,954
"3515",96,95,762,762
"3520",102,95,774,774
"3525",108,95,786,786
"3538",126,95,822,822
"3543",132,95,834,834
"3547",138,95,846,846
"3552",144,95,858,858
"3560",156,95,882,882
"3619",102,97,786,786
"3625",108,97,798,798
"3643",126,97,834,834
"3655",138,97,858,858
"3661",144,97,870,870
"3665",99,98,786,786
"3670",111,98,810,810
"3673",117,98,822,822
"3675",123,98,834,834
"3678",129,98,846,846
"3680",135,98,858,858
"3688",153,98,894,894
"3691",159,98,906,906
"3693",165,98,918,918
"3696",171,98,930,930
"3709",201,98,990,990
"3711",207,98,1002,1002
"3769",111,100,822,822
"3776",129,100,858,858
"3781",141,100,882,882
"3783",147,100,894,894
"3788",159,100,918,918
"3795",177,100,954,954
"3798",183,100,966,966
"3800",189,100,978,978
"3810",213,100,1026,1026
"3812",219,100,1038,1038
