3	4	30	30	
3	5	6	6	
3	7	24	24	
3	8	54	54	
3	10	66	66	
3	11	36	36	
3	13	14	14	
3	14	90	90	
3	16	34	34	
3	17	54	54	
3	19	60	60	
3	20	42	42	
3	22	138	138	
3	23	24	24	
3	25	78	78	
3	26	162	162	
3	28	174	174	
3	29	90	90	
3	31	32	32	
3	32	198	198	
3	34	70	70	
3	35	108	108	
3	37	114	114	
3	38	78	78	
3	40	246	246	
4	5	36	26	
4	7	48	34	
4	9	42	20	
4	11	72	50	
4	13	84	58	
4	15	66	32	
4	17	108	74	
4	19	120	82	
4	21	90	44	
4	23	144	98	
4	25	156	106	
4	27	114	56	
4	29	180	122	
4	31	192	130	
4	33	138	68	
4	35	216	146	
4	37	228	154	
4	39	162	80	
4	41	252	170	
4	43	264	178	
4	45	186	92	
4	47	288	194	
4	49	300	202	
4	51	210	104	
4	53	324	218	
5	6	30	16	
5	7	18	8	
5	8	60	38	
5	9	30	22	
5	11	36	26	
5	12	54	28	
5	13	42	30	
5	14	96	62	
5	16	108	70	
5	17	54	38	
5	18	78	40	
5	19	60	42	
5	21	66	46	
5	22	144	94	
5	23	50	24	
5	24	102	52	
5	26	168	110	
5	27	84	58	
5	28	180	118	
5	29	62	30	
5	31	66	32	
5	32	204	134	
5	33	102	70	
5	34	216	142	
5	36	150	76	
6	7	18	18	
6	11	78	78	
6	13	90	90	
6	17	114	114	
6	19	126	126	
6	23	150	150	
6	25	162	162	
6	29	62	62	
6	31	198	198	
6	35	222	222	
6	37	234	234	
6	41	258	258	
6	43	90	90	
6	47	294	294	
6	49	306	306	
6	53	330	330	
6	55	342	342	
6	59	366	366	
6	61	378	378	
6	65	134	134	
6	67	414	414	
6	71	438	438	
6	73	450	450	
6	77	474	474	
6	79	162	162	
7	8	42	20	
7	9	36	22	
7	10	72	50	
7	11	42	26	
7	12	84	58	
7	13	30	16	
7	15	54	34	
7	16	108	74	
7	17	60	38	
7	18	120	82	
7	19	66	42	
7	20	132	90	
7	22	144	98	
7	23	78	50	
7	24	156	106	
7	25	84	54	
7	26	168	114	
7	27	90	58	
7	29	62	32	
7	30	192	130	
7	31	102	66	
7	32	204	138	
7	33	108	70	
7	34	146	72	
7	36	228	154	
8	9	72	46	
8	11	84	54	
8	13	96	62	
8	15	108	70	
8	17	78	40	
8	19	132	86	
8	21	144	94	
8	23	156	102	
8	25	168	110	
8	27	180	118	
8	29	192	126	
8	31	134	68	
8	33	216	142	
8	35	228	150	
8	37	240	158	
8	39	252	166	
8	41	264	174	
8	43	182	92	
8	45	288	190	
8	47	300	198	
8	49	312	206	
8	51	324	214	
8	53	222	112	
8	55	348	230	
8	57	360	238	
9	10	78	78	
9	11	42	42	
9	13	48	48	
9	14	102	102	
9	16	114	114	
9	17	60	60	
9	19	66	66	
9	20	46	46	
9	22	150	150	
9	23	26	26	
9	25	84	84	
9	26	174	174	
9	28	186	186	
9	29	96	96	
9	31	34	34	
9	32	210	210	
9	34	74	74	
9	35	114	114	
9	37	120	120	
9	38	246	246	
9	40	258	258	
9	41	132	132	
9	43	138	138	
9	44	282	282	
9	46	294	294	
10	11	84	58	
10	13	96	66	
10	17	120	82	
10	19	90	44	
10	21	144	98	
10	23	156	106	
10	27	180	122	
10	29	192	130	
10	31	204	138	
10	33	216	146	
10	37	240	162	
10	39	252	170	
10	41	178	88	
10	43	276	186	
10	47	300	202	
10	49	312	210	
10	51	324	218	
10	53	226	112	
10	57	360	242	
10	59	372	250	
10	61	384	258	
10	63	396	266	
10	67	282	140	
10	69	432	290	
10	71	444	298	
11	12	96	62	
11	13	48	34	
11	14	70	36	
11	15	54	38	
11	16	78	40	
11	17	42	20	
11	18	132	86	
11	19	66	46	
11	20	144	94	
11	21	72	50	
11	23	54	26	
11	24	168	110	
11	25	84	58	
11	26	180	118	
11	27	90	62	
11	28	192	126	
11	29	96	66	
11	30	204	134	
11	31	102	70	
11	32	216	142	
11	34	228	150	
11	35	114	78	
11	36	240	158	
11	37	120	82	
11	38	252	166	
12	13	102	102	
12	17	126	126	
12	19	138	138	
12	23	162	162	
12	25	174	174	
12	29	66	66	
12	31	210	210	
12	35	234	234	
12	37	246	246	
12	41	270	270	
12	43	94	94	
12	47	306	306	
12	49	318	318	
12	53	342	342	
12	55	354	354	
12	59	378	378	
12	61	130	130	
12	65	414	414	
12	67	426	426	
12	71	450	450	
12	73	462	462	
12	77	486	486	
12	79	498	498	
12	83	174	174	
12	85	534	534	
13	14	108	74	
13	15	60	38	
13	16	120	82	
13	17	42	22	
13	18	132	90	
13	19	72	46	
13	20	144	98	
13	21	78	50	
13	22	156	106	
13	23	54	28	
13	24	168	114	
13	25	90	58	
13	27	96	62	
13	28	192	130	
13	29	102	66	
13	30	138	68	
13	31	108	70	
13	32	146	72	
13	33	114	74	
13	34	154	76	
13	35	120	78	
13	36	162	80	
13	37	126	82	
13	38	252	170	
13	40	264	178	
14	15	78	40	
14	17	132	86	
14	19	144	94	
14	23	168	110	
14	25	180	118	
14	27	126	64	
14	29	204	134	
14	31	142	72	
14	33	150	76	
